AREA_NAME,DISTRICT_NAME,LOCALE_NAME,ADDRESS,CITY,STATE,ZIP_CODE,LOG_REGION_NAME,LOG_DIVISION_NAME,PROC_REGION_NAME,PROC_DIVISION_NAME,Status,Incident_Type,Comment,LAST_EDITED_DATE,LAST_EDITED_USER,x,y
CENTRAL (J),MN-ND,NEWBURG,380 MAIN ST,NEWBURG,ND,58762,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11233716.5786,6226586.3332
CENTRAL (J),MN-ND,PLAZA,10 E PLAZA ST,PLAZA,ND,58771,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-11349985.4452,6111073.208300002
CENTRAL (J),MN-ND,ORISKA,311 5TH ST,ORISKA,ND,58063,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-10886069.9276,5931108.136200003
CENTRAL (J),MN-ND,NOME,408 MAIN ST,NOME,ND,58062,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-10888279.2856,5889628.975699998
CENTRAL (J),MN-ND,MUNICH,410 MAIN ST,MUNICH,ND,58352,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11002288.3666,6219161.748300001
CENTRAL (J),MN-ND,MOHALL,107 MAIN ST E,MOHALL,ND,58761,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11300170.7524,6234865.150300004
CENTRAL (J),MN-ND,LISBON,17 4TH AVE W,LISBON,ND,58054,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10873981.0762,5851514.602899998
CENTRAL (J),MN-ND,MARION,308 MAIN AVE,MARION,ND,58466,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10946452.6251,5878155.231299996
CENTRAL (J),MN-ND,MANDAN,300 COLLINS AVE,MANDAN,ND,58554,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"11/16/2022, 7:58 PM",QQWFR0,-11231016.6356,5914183.456900001
CENTRAL (J),MN-ND,LITCHVILLE,508 3RD AVE,LITCHVILLE,ND,58461,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10930877.9151,5885688.499399997
